Point_ID,Latitude,Longitude,Elevation,Slope,Aspect,Curvature,TRI,TPI,Annual_Precipitation,Monsoon_Precipitation,Max_Daily_Precipitation,Antecedent_Rainfall_7d,Antecedent_Rainfall_15d,Antecedent_Rainfall_30d,Mean_Temperature,Min_Temperature,Max_Temperature,Temperature_Range,Lithology,Fault_Density,Distance_to_Fault,NDVI,Land_Use,Forest_Cover,Distance_to_Road,Road_Density,Slope_Precipitation,Elevation_Slope,Aspect_Relief,Susceptibility_Score,Susceptibility_Class
P_001125,9.99701,73.600009,5379.08,32.28,330.46,-0.0501,18.14,0.63,3013.5,2260.1,64.8,31.4,5.1,345.4,30.0,17.6,42.5,24.8,7,0.404,1876.7,0.56,1,0.467,926.1,0.287,97.28,19.63,0.0247,6.56,4
P_001126,10.144674,91.491882,1534.28,17.06,238.25,-0.024,45.49,-7.05,2399.1,1678.1,13.2,66.6,31.6,140.9,16.6,11.3,21.8,10.5,3,0.243,2979.7,0.576,2,0.237,390.7,0.61,40.94,2.96,0.0204,6.81,4
P_001127,13.042511,88.688567,6299.16,11.35,180.51,0.0043,9.0,10.39,2315.0,1848.0,296.8,223.7,31.4,203.8,9.0,1.8,16.1,14.3,6,0.085,4247.6,0.589,5,0.268,216.9,1.066,26.28,8.08,-0.0,4.67,3
P_001128,23.471698,80.221183,3896.08,43.56,310.12,-0.0704,43.25,-8.99,4000.0,2574.4,36.2,30.7,143.0,145.5,31.9,19.7,44.1,24.4,3,0.036,2177.3,0.566,2,0.089,412.4,0.128,174.25,19.18,0.0539,9.25,4
P_001129,8.110939,93.462943,6249.28,1.14,322.2,-0.056,24.37,8.21,2556.0,1847.0,13.6,29.8,290.4,1060.5,7.2,4.5,9.8,5.3,7,0.244,647.2,0.667,2,0.422,1927.4,0.119,2.92,0.81,0.0343,1.76,1
P_001130,13.675982,95.108617,1895.1,72.12,39.09,0.1056,0.5,2.37,657.0,410.4,42.8,50.0,132.2,398.1,24.2,12.1,36.3,24.2,5,0.207,799.9,0.855,5,0.305,557.0,0.505,47.39,15.45,0.0666,4.31,3
P_001131,9.028326,89.20277,6370.1,1.56,54.09,0.0797,39.4,12.82,245.1,149.3,8.8,60.3,148.2,779.9,26.5,14.1,38.9,24.8,1,0.07,176.3,0.547,1,0.107,124.9,0.837,0.38,1.13,0.0645,2.29,1
P_001132,24.360784,82.60319,838.47,20.18,21.47,-0.0495,26.54,-2.72,1243.5,1078.5,66.2,324.7,286.2,141.6,21.4,14.3,28.5,14.2,4,0.424,2422.0,0.726,2,0.156,53.9,0.622,25.1,1.91,-0.0181,3.23,2
P_001133,14.098401,91.039317,2750.15,9.75,321.07,0.058,8.02,6.3,59.2,46.3,26.4,239.8,86.0,211.4,20.8,10.3,31.2,20.9,2,1.422,1552.7,0.483,4,0.206,140.6,0.107,0.58,3.03,-0.0365,4.44,3
P_001134,11.666274,68.190693,5856.61,4.74,53.81,-0.001,25.17,-20.21,549.1,411.0,27.9,173.0,6.0,810.1,12.3,2.6,22.0,19.4,3,0.174,1910.8,0.397,6,0.183,1310.9,0.364,2.6,3.14,-0.0008,1.23,1
P_001135,21.362235,69.639167,8542.05,27.25,285.62,-0.1093,28.66,-10.13,2246.7,1978.0,15.7,93.5,257.4,102.7,17.2,12.8,21.6,8.7,5,0.997,4199.8,0.303,3,0.068,38.9,0.505,61.22,26.31,0.1053,6.35,4
P_001136,21.647949,75.979485,8585.95,0.85,340.52,-0.0386,20.86,-10.68,1575.7,1047.4,213.8,138.2,312.1,45.0,19.3,7.3,31.2,23.9,2,0.079,1328.7,0.53,6,0.012,795.6,0.198,1.34,0.82,0.0129,2.24,1
P_001137,19.751028,95.314076,1377.24,7.38,92.55,0.1671,40.85,3.48,869.1,744.3,76.9,17.1,56.3,445.6,34.2,28.0,40.5,12.5,2,1.017,445.3,0.71,4,0.078,1630.2,0.034,6.41,1.15,0.1669,3.67,2
P_001138,13.585533,93.886679,3677.34,9.72,60.49,-0.0193,21.84,10.36,572.4,348.4,78.1,61.0,151.5,118.1,28.5,18.1,39.0,20.9,4,1.175,246.3,0.483,2,0.242,3097.3,0.182,5.56,4.04,-0.0168,2.09,1
P_001139,25.603,91.289954,1175.51,15.84,11.63,0.0295,7.75,-5.27,703.3,474.4,27.3,8.0,281.2,32.9,30.1,21.0,39.3,18.3,3,1.007,411.9,0.637,1,0.333,3543.6,1.294,11.14,2.1,0.0059,3.24,2
P_001140,19.346676,85.811555,3351.94,18.47,286.41,0.0009,10.47,5.08,344.9,242.8,1.8,40.4,92.7,42.1,5.0,-3.2,13.3,16.5,2,0.009,3931.4,0.608,1,0.334,370.7,0.018,6.37,7.0,-0.0009,3.94,2
P_001141,10.39462,71.17632,7881.79,7.76,11.71,-0.1415,11.76,2.74,210.4,174.4,0.0,57.8,18.2,321.5,15.4,12.6,18.2,5.6,3,0.423,569.1,0.376,5,0.121,3588.3,0.049,1.63,6.92,-0.0287,2.27,1
P_001142,25.145704,82.258401,5935.88,58.82,191.62,-0.1087,14.95,13.21,490.1,299.7,16.8,19.0,122.3,247.1,28.0,20.4,35.5,15.0,3,0.132,3827.6,0.457,1,0.82,1859.7,0.425,28.83,39.46,0.0219,2.66,2
P_001143,8.450517,89.222268,5560.79,9.7,36.72,-0.0368,10.35,-0.86,3950.8,3555.7,80.6,29.9,52.6,117.0,34.6,28.8,40.5,11.7,6,1.597,3425.1,0.838,7,0.377,339.3,0.444,38.33,6.1,-0.022,3.48,2
P_001144,18.709908,95.686717,8418.36,12.3,228.69,-0.0062,11.1,10.51,4000.0,3201.3,68.3,30.5,146.9,533.6,19.9,16.5,23.3,6.8,6,0.124,205.6,0.573,1,0.372,1613.4,0.082,49.18,11.7,0.0046,3.64,2
P_001145,27.193418,93.019169,2861.21,1.26,9.82,-0.1207,5.52,-10.41,1263.6,1134.2,115.6,29.1,293.9,1105.0,32.2,20.8,43.5,22.7,6,0.173,174.5,0.558,7,0.34,1117.9,0.886,1.59,0.41,-0.0206,0.89,0
P_001146,36.403774,71.832703,1379.82,0.65,93.73,-0.0487,27.39,5.18,709.6,495.1,48.2,69.8,81.5,467.0,13.4,4.5,22.3,17.9,8,0.653,1083.9,0.653,2,0.239,435.9,0.272,0.46,0.1,-0.0486,2.42,1
P_001147,18.08616,72.241144,606.02,5.82,165.13,-0.1101,10.55,2.45,154.4,116.8,5.0,29.6,120.2,73.4,18.4,12.5,24.3,11.9,7,0.792,9882.6,0.969,1,0.647,1182.1,0.023,0.9,0.4,-0.0282,1.37,1
P_001148,21.433941,68.04189,4905.28,9.3,329.57,-0.0648,17.73,3.82,3218.5,2631.4,45.1,81.9,101.5,352.0,28.1,24.4,31.9,7.6,8,0.137,1187.5,0.726,7,0.167,499.4,0.205,29.93,5.16,0.0328,3.31,2
P_001149,21.488609,92.842014,1705.77,14.04,13.55,-0.0294,3.71,-19.71,942.2,653.1,246.8,99.7,56.0,43.3,6.2,2.8,9.6,6.8,5,0.965,340.9,0.604,7,0.127,21.6,3.185,13.23,2.71,-0.0069,3.8,2
P_001150,34.913739,71.47281,4809.48,5.67,316.4,-0.1011,1.69,7.23,413.9,253.1,7.6,101.1,273.4,252.5,23.0,18.9,27.1,8.1,2,0.624,907.9,0.585,2,0.061,1337.7,0.418,2.35,3.08,0.0697,2.4,1
P_001151,27.364908,83.449091,1305.97,18.52,177.36,-0.0441,7.1,1.3,1068.1,788.1,12.9,27.5,199.7,24.3,18.0,10.3,25.8,15.5,2,0.859,116.9,0.602,4,0.723,67.7,1.196,19.78,2.73,-0.002,3.25,2
P_001152,27.363794,85.909985,8197.35,75.86,58.82,0.0492,23.05,15.33,4000.0,3420.3,59.7,48.2,219.3,303.5,12.5,5.5,19.5,14.0,2,0.347,2547.6,0.722,4,0.096,405.1,0.134,303.44,70.28,0.0421,8.29,4
P_001153,11.472988,76.559132,4056.72,9.74,209.79,0.0668,24.79,-2.19,661.4,406.4,45.7,92.3,175.1,874.3,27.9,16.7,39.1,22.3,1,0.191,767.5,0.307,1,0.297,16.2,0.63,6.44,4.47,-0.0332,3.35,2
P_001154,18.730219,94.255676,4523.49,64.86,194.39,-0.0065,48.14,-6.47,1444.6,1294.5,87.2,80.7,17.8,181.3,7.6,2.0,13.2,11.2,2,0.246,3631.4,0.727,2,0.085,544.9,0.061,93.7,33.16,0.0016,4.83,3
P_001155,14.267789,76.266201,1103.88,19.15,285.1,-0.0138,19.71,-9.2,215.1,154.7,40.7,4.2,212.5,542.9,30.8,27.3,34.3,7.1,1,0.038,5157.1,0.8,1,0.649,1340.8,0.013,4.12,2.39,0.0133,4.57,3
P_001156,32.938518,80.941192,3905.01,16.59,232.47,0.0017,28.07,3.24,969.8,723.2,145.2,28.1,22.8,1061.1,11.4,1.4,21.4,20.0,2,1.612,3132.0,0.776,1,0.375,724.5,0.234,16.09,7.32,-0.0014,2.85,2
P_001157,20.375365,81.891611,6539.52,6.51,146.37,-0.0752,45.3,-14.11,1275.1,1031.1,16.5,29.5,101.1,409.9,13.8,5.7,21.8,16.1,7,0.175,6761.2,0.9,4,0.41,571.7,0.158,8.3,4.81,-0.0417,1.91,1
P_001158,19.395479,95.161267,5662.32,27.25,223.34,0.1283,15.83,-8.66,1089.4,785.2,8.1,53.3,74.3,47.6,29.7,22.2,37.2,15.0,2,0.352,2809.6,0.897,3,0.011,970.4,0.024,29.69,17.44,-0.0881,3.27,2
P_001159,10.981713,92.830047,1793.67,5.93,63.98,0.1918,46.34,8.09,54.0,40.9,42.8,48.2,77.6,764.1,5.7,-3.1,14.4,17.5,3,0.548,441.1,0.713,1,0.677,750.7,0.357,0.32,1.2,0.1724,3.89,2
P_001160,26.747336,71.666135,5991.53,10.06,295.25,-0.0423,47.51,-7.68,966.4,849.3,58.4,261.0,76.5,38.0,29.1,18.5,39.6,21.1,5,0.433,4928.0,0.869,2,0.281,37.7,0.154,9.72,6.81,0.0383,2.26,1
P_001161,15.089683,80.180804,1239.44,10.06,331.24,0.0663,40.24,4.81,592.4,481.5,70.2,23.0,393.6,244.8,5.5,-3.4,14.4,17.9,5,0.401,477.6,0.714,2,0.102,899.0,0.221,5.96,1.41,-0.0319,2.4,1
P_001162,17.321561,90.291316,4433.57,23.33,251.63,0.0025,42.75,6.87,1366.5,1007.1,7.0,68.0,116.4,602.8,17.4,11.7,23.1,11.4,1,0.024,1156.5,0.418,2,0.257,736.6,0.334,31.88,11.69,-0.0024,3.06,2
P_001163,11.66433,73.193588,7012.61,4.83,341.32,-0.0249,40.51,11.41,58.6,45.1,141.6,4.0,68.8,21.2,22.1,18.4,25.8,7.3,3,0.636,359.3,0.636,1,0.219,815.8,1.029,0.28,3.83,0.008,1.98,1
P_001164,10.015933,70.427916,2420.88,15.84,64.08,0.0575,28.05,7.26,148.0,132.7,33.7,60.2,1083.8,797.7,18.7,12.0,25.4,13.4,1,1.305,3712.9,0.869,3,0.074,394.5,0.018,2.35,4.34,0.0517,5.71,4
P_001165,11.587435,86.992075,2122.76,14.96,149.34,-0.0071,15.43,19.51,189.1,132.8,50.4,134.9,35.0,436.6,10.4,5.7,15.1,9.4,4,0.171,2167.0,0.723,1,0.452,1371.4,0.018,2.83,3.59,-0.0036,2.25,1
P_001166,11.037626,91.418347,5388.64,19.75,352.11,0.0636,9.72,16.49,682.3,420.5,5.9,92.2,67.1,59.3,15.2,10.7,19.7,9.0,1,0.082,4292.5,0.542,1,0.733,216.8,0.236,13.47,12.03,-0.0087,2.95,2
P_001167,22.403945,78.437126,5813.53,41.21,125.33,0.1309,26.53,-7.92,672.1,567.3,110.8,89.3,40.9,251.2,20.1,13.3,27.0,13.6,2,0.32,1183.2,0.684,2,0.066,132.5,0.482,27.7,27.08,0.1068,6.26,4
P_001168,34.154027,70.488678,3000.99,10.67,246.96,0.0389,49.11,3.24,147.6,111.8,4.0,17.0,38.4,26.2,31.8,28.0,35.6,7.5,5,0.491,442.9,0.64,5,0.197,1073.7,0.557,1.57,3.62,-0.0358,0.74,0
P_001169,12.912424,85.293229,5370.48,9.75,343.17,-0.0216,44.15,-9.05,585.9,426.2,55.2,109.5,4.6,243.3,15.0,6.2,23.8,17.6,4,0.526,2121.3,0.684,3,0.145,135.9,0.12,5.71,5.92,0.0062,2.37,1
P_001170,23.655666,77.814296,7531.61,10.24,329.51,0.0297,44.29,-7.02,416.0,266.5,30.5,325.3,200.7,413.1,25.1,22.2,28.0,5.8,3,0.04,759.2,0.561,2,0.313,484.1,1.961,4.26,8.72,-0.0151,2.79,2
P_001171,21.231294,92.967444,7856.72,2.58,257.51,-0.0491,43.74,-2.7,415.1,292.1,19.6,22.4,114.0,223.7,17.3,5.6,28.9,23.3,2,0.015,393.1,0.508,1,0.573,920.5,1.001,1.07,2.29,0.0479,1.44,1
P_001172,30.890601,71.018399,1803.5,0.58,52.19,0.1233,45.66,6.69,1411.5,1120.2,40.4,66.6,108.9,995.1,5.3,2.3,8.3,6.1,3,0.201,1049.3,0.658,4,0.19,636.8,0.126,0.82,0.12,0.0974,2.56,2
P_001173,22.99628,96.696463,2591.82,14.42,249.83,0.0423,15.73,-13.68,2310.7,1881.9,87.5,22.3,7.0,760.3,16.6,12.3,20.9,8.6,1,0.363,325.3,0.756,1,0.163,510.8,0.182,33.32,4.22,-0.0397,5.85,4
P_001174,27.790816,93.537199,1039.79,9.69,243.42,-0.0431,44.85,-15.28,2929.7,1799.6,32.7,61.4,31.6,201.0,26.7,20.5,32.8,12.3,2,0.761,8968.6,0.389,6,0.128,243.4,1.219,28.4,1.14,0.0385,5.89,4
P_001175,31.193829,78.335398,1629.09,4.44,12.58,-0.0189,4.53,10.27,714.2,562.7,83.0,44.1,212.4,172.6,24.3,19.6,29.0,9.4,8,0.04,1407.3,0.886,1,0.766,663.7,0.037,3.17,0.82,-0.0041,0.34,0
P_001176,12.797838,93.894235,5333.71,3.06,253.36,-0.0521,27.83,9.94,416.8,260.1,25.5,139.2,122.7,207.9,16.0,8.9,23.1,14.2,2,0.474,131.4,0.512,4,0.221,132.4,1.332,1.27,1.84,0.0499,1.98,1
P_001177,12.767283,74.615826,1153.11,9.53,331.06,0.03,20.57,-16.89,491.4,379.2,40.9,44.5,380.2,21.9,7.6,-4.9,20.0,24.8,6,0.815,1846.1,0.931,2,0.527,59.6,0.684,4.68,1.24,-0.0145,3.2,2
P_001178,22.553114,78.719948,8569.72,42.35,343.02,0.0724,47.27,-8.84,1015.2,674.3,85.1,212.0,243.0,139.0,10.7,2.0,19.5,17.5,3,0.552,236.9,0.771,2,0.255,1547.2,0.493,43.0,41.02,-0.0212,4.79,3
P_001179,34.358937,75.710194,3731.32,1.35,164.23,0.2412,3.2,1.33,39.6,28.8,10.5,142.2,221.0,157.7,6.4,2.0,10.7,8.6,5,2.311,790.4,0.652,2,0.621,278.8,1.071,0.05,0.57,0.0656,1.11,1
P_001180,13.020726,87.56826,3639.11,53.64,66.52,0.1754,48.88,-11.45,434.7,312.5,31.0,29.1,340.0,38.6,26.1,18.3,34.0,15.7,2,0.339,3543.3,0.523,2,0.5,610.9,1.181,23.32,22.06,0.1609,5.01,3
P_001181,21.282634,71.017871,5283.03,14.63,275.52,-0.0096,17.6,7.28,809.8,704.6,195.6,354.9,52.2,274.8,12.8,6.6,19.0,12.4,1,0.088,1011.9,0.598,1,0.115,171.5,0.569,11.85,8.74,0.0095,3.34,2
P_001182,34.955331,91.284619,3032.72,46.36,204.5,-0.0503,3.61,3.4,1020.0,916.2,8.3,106.9,122.8,126.9,25.8,16.6,35.0,18.4,7,1.055,1650.2,0.983,3,0.158,3088.3,0.177,47.29,15.89,0.0209,4.24,3
P_001183,25.4104,68.054038,2763.1,4.39,302.37,-0.1126,43.31,-5.53,275.6,180.0,13.6,26.7,130.7,154.1,21.8,15.9,27.7,11.9,7,1.506,1034.8,0.678,3,0.15,1457.8,0.07,1.21,1.37,0.0951,1.86,1
P_001184,13.719797,87.684119,8643.98,26.7,57.6,-0.1106,26.02,1.32,4000.0,2552.5,119.7,21.5,77.0,174.4,13.6,2.6,24.6,22.1,2,0.848,10361.7,0.459,4,0.054,1485.7,0.716,106.8,26.08,-0.0934,6.34,4
P_001185,16.983142,76.983896,1558.39,25.15,326.9,-0.2134,4.12,-4.46,853.5,714.7,3.7,101.3,32.3,1422.5,32.0,20.0,44.0,24.0,1,0.335,361.2,0.456,3,0.349,314.5,0.485,21.46,4.43,0.1165,5.06,3
P_001186,26.258964,95.10777,4559.15,84.23,57.48,0.0501,26.85,-2.36,224.4,149.6,11.8,38.6,28.9,662.9,11.6,5.0,18.3,13.3,1,0.055,4532.0,0.473,1,0.729,1489.0,0.161,18.9,43.4,0.0423,2.41,1
P_001187,21.946955,94.938022,6655.6,0.81,2.94,0.0263,36.02,14.42,204.7,176.4,74.2,221.5,83.4,129.0,9.6,-2.2,21.4,23.6,2,0.064,428.1,0.659,7,0.017,136.5,0.017,0.17,0.61,0.0013,3.03,2
P_001188,17.182221,73.070752,4276.58,2.39,49.65,0.0045,38.55,1.16,2167.9,1729.3,20.0,17.0,54.2,734.1,25.9,18.8,32.9,14.1,1,0.155,2610.5,0.171,7,0.334,714.6,0.466,5.18,1.16,0.0034,2.75,2
P_001189,13.800814,90.665474,4203.4,72.44,9.05,0.0589,34.76,-9.63,1047.3,933.7,26.8,54.0,482.7,309.3,15.6,5.9,25.3,19.4,5,0.183,707.4,0.583,1,0.48,2066.2,0.393,75.86,34.41,0.0093,4.66,3
P_001190,15.063276,92.945378,4767.56,34.55,72.58,-0.0263,46.8,9.6,658.0,583.5,29.3,69.0,304.2,134.1,13.7,3.5,24.0,20.5,1,0.866,1962.6,0.717,2,0.128,1403.4,0.51,22.73,18.62,-0.0251,4.8,3
P_001191,33.583954,69.718171,6834.38,28.74,356.94,-0.0607,11.88,3.51,118.5,89.7,35.3,93.3,80.3,1041.0,13.1,4.1,22.1,18.0,3,0.155,418.6,0.366,1,0.512,1786.7,0.571,3.41,22.2,0.0032,2.64,2
P_001192,19.190818,78.406199,1317.88,35.16,42.67,-0.1585,49.82,-1.68,1057.8,682.2,55.1,478.1,185.8,244.5,13.8,10.4,17.2,6.8,2,0.403,2803.1,0.634,3,0.127,746.2,0.095,37.19,5.24,-0.1074,5.51,4
P_001193,23.820688,78.272194,8028.78,44.84,352.72,0.1128,6.6,5.17,1377.1,1210.9,38.8,20.7,149.7,491.0,28.1,20.4,35.8,15.5,2,1.307,2971.1,0.827,5,0.318,360.6,1.137,61.75,40.69,-0.0143,6.47,4
P_001194,17.417266,82.835828,6467.99,3.53,91.38,0.1372,40.87,-12.63,949.5,607.5,29.6,13.7,18.5,356.3,33.7,22.8,44.6,21.8,6,0.649,4548.5,0.541,2,0.515,626.4,1.34,3.35,2.58,0.1372,0.17,0
P_001195,12.667257,88.648341,6030.82,61.6,203.37,-0.0342,30.97,-8.38,715.4,472.7,44.5,83.6,148.7,38.0,32.8,24.4,41.2,16.8,2,0.581,765.2,0.291,1,0.144,943.0,0.304,44.07,41.99,0.0136,4.93,3
P_001196,26.835936,80.005692,138.69,17.53,298.61,0.1288,4.26,-12.13,1132.8,946.7,54.9,38.3,30.1,632.5,14.7,12.0,17.4,5.4,4,0.142,3680.3,0.885,2,0.291,4.8,0.121,19.86,0.27,-0.113,3.89,2
P_001197,8.595201,87.128614,2551.56,4.91,80.95,0.0234,41.14,-6.15,122.2,78.8,114.6,55.8,495.5,680.4,30.1,24.8,35.5,10.7,2,0.411,1082.3,0.783,1,0.608,577.5,0.321,0.6,1.42,0.0231,1.54,1
P_001198,25.865146,74.697882,1191.86,31.66,228.22,-0.0834,48.46,4.63,545.7,488.6,5.5,17.4,214.2,9.0,5.6,-4.9,16.0,20.8,2,1.255,1109.9,0.469,3,0.081,230.2,0.178,17.28,4.27,0.0622,6.33,4
P_001199,34.249971,86.535567,8137.7,36.32,22.83,0.0086,26.66,7.83,1499.0,1294.8,48.0,55.4,23.7,622.8,8.8,-0.9,18.6,19.5,4,0.244,1898.6,0.59,4,0.255,329.6,0.084,54.45,33.41,0.0033,5.67,4
P_001200,29.776255,74.779282,2165.03,15.49,284.06,0.0956,10.57,2.04,349.1,276.2,88.4,77.5,2.1,452.0,29.4,24.1,34.7,10.5,1,0.365,86.1,0.623,1,0.422,217.4,0.513,5.41,3.79,-0.0928,4.87,3
P_001201,32.244079,72.001512,5482.69,42.81,20.69,-0.1974,3.0,5.48,298.9,209.0,5.2,45.0,9.1,197.1,21.7,9.4,33.9,24.5,7,0.863,517.9,0.582,1,0.761,1944.2,0.007,12.8,26.53,-0.0697,1.44,1
P_001202,35.240371,93.023863,6659.08,60.73,19.38,0.0985,6.33,3.99,1054.7,757.5,28.6,243.6,154.7,39.2,33.1,28.8,37.5,8.7,7,1.769,4204.8,0.664,1,0.699,1057.3,0.745,64.05,45.7,0.0327,3.78,2
P_001203,18.528016,75.655047,4762.34,0.95,274.49,0.0282,5.33,8.78,63.5,50.7,129.2,96.1,249.4,628.6,11.7,3.4,20.0,16.6,2,0.144,427.5,0.494,2,0.181,292.1,0.176,0.06,0.51,-0.0281,1.27,1
P_001204,28.467844,82.630065,987.43,2.72,324.69,0.1471,11.37,8.91,837.2,745.8,6.4,71.4,166.0,9.1,17.4,7.0,27.7,20.7,3,1.041,2070.1,0.739,3,0.101,210.6,0.879,2.28,0.3,-0.085,2.68,2
P_001205,15.236821,88.180084,8628.29,24.29,222.87,-0.1926,28.38,-14.51,513.3,370.5,144.6,55.4,176.5,1022.6,20.6,15.5,25.6,10.0,3,0.235,2508.6,0.56,1,0.369,523.8,1.293,12.47,23.68,0.1311,1.91,1
P_001206,19.588825,76.913855,7836.45,2.2,44.72,0.0117,2.34,-11.73,1161.1,854.5,51.1,33.4,471.8,126.2,24.1,12.2,36.1,23.9,3,0.088,141.7,0.606,6,0.074,369.9,0.508,2.55,1.95,0.0083,1.57,1
P_001207,10.903565,71.92204,4517.68,14.65,67.32,-0.1092,28.68,-6.95,2695.5,2006.4,74.2,239.9,42.0,268.0,24.3,18.4,30.1,11.6,6,0.611,1093.2,0.591,3,0.075,662.6,0.044,39.49,7.48,-0.1007,3.59,2
P_001208,18.779622,80.309224,8496.33,12.5,230.7,0.0347,29.92,14.34,337.8,208.6,63.9,188.8,106.2,318.4,14.2,7.2,21.2,14.0,2,0.713,1354.2,0.568,2,0.202,558.4,0.474,4.22,12.01,-0.0268,2.36,1
P_001209,25.804189,85.602556,4948.85,25.94,292.54,0.1827,5.14,-11.14,114.2,85.0,115.2,105.0,221.3,68.6,18.6,12.1,25.1,13.0,6,0.074,1549.5,0.449,5,0.327,396.6,0.577,2.96,14.51,-0.1687,2.62,2
P_001210,9.797909,69.369041,3134.94,3.23,258.68,0.015,32.74,4.15,7.9,6.0,84.9,106.2,51.7,754.8,33.9,28.6,39.2,10.6,2,0.207,130.5,0.703,3,0.594,695.9,0.215,0.03,1.15,-0.0147,0.58,0
P_001211,28.484143,81.733777,2270.61,33.17,40.7,0.014,31.24,-12.41,714.4,472.4,7.1,67.8,166.7,144.9,11.6,8.3,14.9,6.6,1,0.056,2710.2,0.644,2,0.017,479.4,0.085,23.69,8.51,0.0092,7.04,4
P_001212,29.852931,85.387643,759.1,7.12,325.28,-0.1943,32.19,-5.29,272.2,206.1,55.4,193.0,235.9,194.1,28.0,16.6,39.5,23.0,3,0.002,4255.9,0.809,1,0.462,90.0,0.403,1.94,0.61,0.1107,2.76,2
P_001213,23.22515,87.222627,3548.29,0.79,90.99,0.1373,9.72,-7.15,147.8,124.7,145.4,3.2,482.5,191.6,11.4,7.9,14.9,7.0,6,0.316,3572.6,0.769,1,0.617,1442.6,0.168,0.12,0.32,0.1373,0.23,0
P_001214,34.716648,94.523481,4892.07,14.99,235.16,-0.075,6.8,-13.44,3106.3,2538.3,2.4,79.7,84.0,675.6,15.3,6.4,24.3,17.9,2,0.409,696.0,0.861,3,0.103,960.1,0.625,46.58,8.29,0.0615,5.98,4
P_001215,10.513692,88.830863,2341.9,1.84,305.88,-0.0806,21.57,16.66,263.5,158.8,21.5,16.1,109.5,717.9,8.4,5.0,11.9,6.8,8,0.684,109.1,0.768,2,0.449,829.2,0.077,0.49,0.49,0.0653,1.05,1
P_001216,8.073089,70.299936,4638.68,15.01,33.45,0.11,46.99,15.51,2204.2,1946.2,169.2,58.1,133.9,132.3,20.3,16.2,24.3,8.0,5,0.013,537.4,0.825,7,0.044,4045.8,0.604,33.07,7.87,0.0606,3.84,2
P_001217,24.294261,79.86482,5265.56,13.78,78.38,-0.1068,24.5,6.19,361.1,250.6,47.6,6.7,2.4,56.0,10.1,5.6,14.5,9.0,6,0.296,1269.5,0.682,7,0.027,1057.0,0.295,4.97,8.2,-0.1046,1.47,1
P_001218,20.719356,81.515554,2752.02,31.52,204.43,-0.2911,46.79,-13.38,1543.4,993.1,28.7,34.0,866.6,214.7,7.0,0.4,13.6,13.2,2,0.458,512.6,0.773,1,0.414,1479.0,0.004,48.65,9.8,0.1204,5.13,3
P_001219,8.952502,96.994889,6742.83,6.2,6.94,0.0351,31.96,-1.81,138.7,121.2,20.1,132.2,17.7,55.0,25.4,14.4,36.3,21.9,2,0.271,1932.1,0.686,6,0.28,5448.3,0.056,0.86,4.73,0.0042,3.27,2
P_001220,12.090105,96.209743,3132.6,6.46,76.75,-0.012,14.4,-16.82,257.9,217.3,3.2,180.0,64.3,274.0,16.4,8.2,24.6,16.4,6,2.27,730.7,0.869,1,0.353,939.4,0.214,1.67,2.29,-0.0116,1.36,1
P_001221,29.392984,68.658311,251.79,18.89,335.05,0.1387,41.2,8.1,538.7,340.7,135.2,279.0,116.6,97.9,31.8,22.2,41.4,19.2,1,0.057,8172.7,0.413,1,0.226,40.7,0.025,10.17,0.54,-0.0585,4.2,3
P_001222,21.798106,92.428604,3260.08,6.36,314.3,0.0337,43.24,1.88,3651.5,3088.0,26.9,99.3,26.0,320.6,12.9,7.6,18.2,10.7,1,0.222,1313.2,0.627,3,0.088,978.9,0.992,23.24,2.34,-0.0242,4.31,3
P_001223,11.277469,74.250292,3490.96,33.75,200.53,-0.108,16.52,12.93,1050.3,821.6,11.9,41.1,536.4,1459.5,14.4,5.4,23.3,17.9,2,0.23,3143.7,0.333,1,0.561,3771.3,0.171,35.44,13.31,0.0379,4.21,3
P_001224,19.866741,70.243626,980.68,3.66,197.45,0.2093,29.19,11.38,820.4,689.7,135.8,31.4,27.9,221.4,5.8,-5.5,17.1,22.7,2,0.398,244.5,0.566,2,0.027,1626.1,0.111,3.0,0.41,-0.0628,1.04,1
P_001225,8.158752,83.203267,1018.84,17.97,60.29,-0.0125,28.31,13.36,247.8,159.6,49.9,29.5,97.5,261.1,11.9,1.4,22.3,20.9,8,0.283,4991.1,0.854,2,0.136,2606.9,0.721,4.45,2.07,-0.0108,3.62,2
P_001226,13.558629,70.536954,4338.89,46.99,294.86,-0.1117,35.69,1.96,2012.0,1771.6,47.4,72.3,193.1,1147.7,23.8,18.8,28.9,10.2,5,1.059,1674.0,0.817,4,0.083,1147.7,0.039,94.55,23.04,0.1014,6.47,4
P_001227,12.204691,93.071251,7908.2,11.41,122.32,0.1074,10.55,-1.42,419.2,350.3,136.9,9.8,325.7,414.3,11.9,1.9,22.0,20.1,6,0.077,1395.3,0.454,2,0.087,321.8,0.685,4.78,10.2,0.0908,2.51,2
P_001228,28.290423,70.752985,8436.43,20.48,221.75,-0.132,48.1,-0.91,9.5,7.6,35.4,232.9,95.8,292.5,27.3,24.3,30.2,6.0,1,0.119,316.6,0.452,3,0.135,1455.5,0.931,0.19,19.53,0.0879,3.7,2
